state_county,nursing_home_count,overall_rating,health_insp_rating,qm_rating,longstay_qm_rating,shortstay_qm_rating,staffing_rating,rn_staffing_rating,nursing_turnover,rn_turnover,admin_turnover,nurse_aide_hrspres,lpn_hrspres,rn_hrspres,total_nurse_hrspres,total_weighted_health_survey_score,reported_incidents,substantiated_complaints,infection_control_citations,num_fines,fines_dollar_total,num_payment_denials,total_penalties
"MN, Stevens",1,5.0,4.0,5.0,5.0,4.0,5.0,5.0,50.6,36.8,0.0,2.61,0.84,1.09,4.41,31.333,2,1,0.0,0,0.0,0,0
"MN, Wilkin",1,2.0,2.0,3.0,3.0,,3.0,4.0,41.8,28.6,0.0,1.95,0.56,0.97,3.34,56.167,4,0,0.0,1,63778.0,0,1
"MN, Benton",2,4.0,2.5,4.5,4.5,4.0,4.5,5.0,49.4,47.7,0.0,2.27,0.95,1.13,4.22,56.6665,6,5,1.0,4,165436.7,0,4
"MN, Renville",4,3.25,3.0,2.25,2.5,3.0,4.75,5.0,42.55,37.5,0.0,2.69,0.54,1.13,4.27,54.375,53,12,7.0,10,327601.18,1,11
"MN, Wright",7,4.43,3.57,4.57,4.43,4.5,4.71,5.0,47.76,40.47,0.14,2.31,0.63,1.61,4.37,39.07128571428571,43,13,6.0,7,35075.0,1,8
"MN, Martin",3,3.33,2.67,4.67,4.33,5.0,3.0,3.33,43.17,42.5,0.67,2.55,0.78,1.21,4.42,62.833666666666666,12,4,1.0,3,26946.44,0,3
"MN, Kanabec",1,4.0,3.0,3.0,2.0,4.0,5.0,5.0,38.9,16.7,0.0,2.71,0.88,1.57,4.98,38.0,3,3,2.0,1,10000.0,0,1
"MN, Clearwater",1,5.0,5.0,4.0,5.0,4.0,5.0,5.0,26.0,12.5,0.0,2.86,1.0,1.13,4.87,10.0,0,0,0.0,0,0.0,0,0
"MN, Sibley",3,3.67,3.0,3.33,3.33,3.0,4.67,4.67,55.7,59.27,0.5,2.14,0.94,1.35,4.24,50.0,7,4,3.0,3,56736.75,0,3
"MN, Waseca",3,4.33,3.0,4.0,4.0,3.5,4.33,4.33,48.85,25.0,,2.6,0.98,1.23,4.67,44.22233333333333,4,10,2.0,6,26350.559999999998,1,7
"MN, Mower",4,2.5,1.75,3.0,3.5,2.5,5.0,5.0,50.8,44.6,0.5,3.03,0.86,1.29,5.05,111.45850000000002,30,23,6.0,10,495416.55,6,16
"MN, Koochiching",2,2.0,1.5,1.5,1.5,,4.5,4.5,51.7,51.25,0.0,2.66,0.63,1.0,4.23,102.5,5,8,1.0,6,348266.48,1,7
"MN, Houston",4,2.5,2.0,3.5,4.0,2.5,2.75,3.0,50.0,50.9,1.0,2.6,0.73,1.33,4.53,110.49975,15,25,4.0,18,241429.28,3,21
"MN, Chisago",4,3.25,3.0,3.25,3.67,3.33,2.75,3.0,59.4,63.95,0.0,1.9,1.05,1.31,4.13,50.87475,5,1,3.0,4,47787.0,1,5
"MN, Roseau",3,3.67,3.0,2.67,2.67,,4.67,4.67,35.85,26.15,1.0,2.61,0.93,1.36,4.71,49.55566666666667,4,0,1.0,2,1300.0,0,2
"MN, Freeborn",4,3.0,2.25,3.5,4.0,3.67,5.0,5.0,44.65,33.75,0.5,2.52,0.91,1.46,4.69,107.83350000000002,26,15,5.0,16,222680.13,2,18
"MN, Dodge",2,4.5,3.0,4.5,3.5,5.0,4.5,4.5,42.4,38.85,0.0,3.55,0.88,1.03,5.44,43.5,15,1,1.0,3,28207.67,1,4
"MN, Wabasha",2,4.0,2.5,4.5,4.5,4.0,4.0,4.5,42.8,25.9,0.0,2.41,0.82,1.28,4.43,46.75,6,1,0.0,1,655.1,0,1
"MN, Lincoln",2,4.0,3.5,3.0,3.0,,4.5,4.5,43.95,41.7,0.0,2.77,0.63,1.11,4.48,32.0,5,0,2.0,3,2937.6,0,3
"MN, Meeker",3,3.67,3.67,4.33,4.0,4.0,4.33,4.33,68.57,58.8,1.5,2.56,0.62,1.15,4.25,92.05533333333335,7,3,2.0,3,26380.0,0,3
"MN, Kandiyohi",3,4.33,3.33,4.33,3.67,4.67,4.67,4.67,45.8,52.17,0.0,2.75,0.83,1.25,4.7,41.778,12,7,4.0,4,43967.61,0,4
"MN, Blue Earth",5,3.4,2.6,2.8,2.6,3.2,4.2,4.4,56.13,64.87,0.25,2.57,0.4,1.21,4.12,65.7666,23,12,3.0,40,223193.31,0,40
"MN, Itasca",4,2.25,1.75,2.75,2.75,2.0,4.5,4.75,56.05,48.73,1.0,2.48,0.87,1.94,5.02,115.33324999999999,24,22,4.0,9,119606.34,1,10
"MN, Faribault",2,4.0,3.0,4.5,4.0,3.5,5.0,5.0,38.4,29.15,0.5,2.55,1.21,1.31,4.9,46.0,10,0,1.0,0,0.0,0,0
"MN, Otter Tail",7,4.43,3.43,4.14,3.71,4.5,4.71,4.86,48.78,39.07,0.57,2.63,0.75,1.66,4.81,39.80942857142857,23,3,4.0,5,21307.0,0,5
"MN, Lac Qui Parle",2,2.0,2.0,1.0,1.0,,5.0,5.0,51.55,52.95,0.0,2.72,0.77,1.16,4.51,75.0,14,5,3.0,4,148107.5,2,6
"MN, Cook",1,3.0,3.0,1.0,1.0,,5.0,5.0,35.5,33.3,,2.35,0.68,1.64,4.43,46.0,2,0,1.0,0,0.0,0,0
"MN, Fillmore",6,3.33,2.67,3.83,3.83,4.0,4.2,4.4,53.85,40.0,0.5,2.33,0.58,1.08,3.93,58.055499999999995,12,7,1.0,8,98805.55,1,9
"MN, Nobles",3,1.67,1.67,2.67,2.0,5.0,3.33,3.33,,,,1.99,0.76,1.45,4.09,102.55566666666668,23,5,5.0,9,209868.14,1,10
"MN, Le Sueur",2,2.5,2.5,3.0,2.0,5.0,2.5,3.0,48.1,40.0,0.0,1.83,1.24,1.24,4.03,62.8335,9,6,1.0,4,78205.45,0,4
"MN, Pope",2,4.0,3.0,3.0,2.5,5.0,5.0,5.0,62.75,53.25,0.0,2.54,0.88,1.33,4.59,65.083,7,2,1.0,2,45824.86,0,2
"MN, Hubbard",1,4.0,2.0,5.0,4.0,5.0,5.0,5.0,56.5,50.0,1.0,3.06,0.96,1.51,5.38,79.833,6,10,1.0,4,67178.05,0,4
"MN, Steele",2,3.5,2.0,4.0,2.5,4.5,5.0,5.0,46.75,22.2,0.0,2.93,0.92,1.21,4.96,60.8335,5,2,0.0,3,82715.0,0,3
"MN, Isanti",1,5.0,5.0,4.0,4.0,4.0,5.0,5.0,57.1,48.5,,2.56,0.57,1.4,4.31,14.667,4,2,0.0,0,0.0,0,0
"MN, Douglas",4,4.75,3.75,3.25,3.25,3.5,5.0,5.0,39.67,28.65,0.0,2.03,1.33,1.42,4.57,25.83325,6,0,3.0,3,16625.0,0,3
"MN, Scott",4,4.25,3.5,3.25,3.5,3.0,4.5,4.75,52.23,49.58,1.0,2.39,0.78,1.35,4.41,38.95825,5,14,4.0,14,163535.24000000002,1,15
"MN, Big Stone",2,5.0,3.5,4.5,4.5,,5.0,5.0,36.7,28.6,1.0,3.68,0.89,1.71,6.13,33.6665,0,0,2.0,4,46961.27,0,4
"MN, Pine",1,5.0,4.0,3.0,3.0,,5.0,5.0,51.0,72.7,,2.14,1.11,1.31,4.36,30.667,0,2,0.0,0,0.0,0,0
"MN, Jackson",2,4.5,3.0,5.0,5.0,4.5,4.5,5.0,50.0,40.0,1.0,2.74,0.82,1.21,4.67,46.417,3,2,2.0,2,10400.0,0,2
"MN, Lake",2,4.0,3.5,4.0,4.0,,3.0,3.0,43.8,62.5,2.0,2.3,0.53,1.45,4.11,28.333,16,8,2.0,1,15000.0,0,1
"MN, Cass",1,4.0,3.0,2.0,2.0,3.0,4.0,4.0,53.1,71.4,,1.81,1.5,0.84,4.02,36.0,1,0,1.0,0,0.0,0,0
"MN, Nicollet",1,4.0,3.0,3.0,3.0,4.0,4.0,5.0,58.4,50.0,0.0,2.23,0.58,1.32,3.95,54.833,1,0,0.0,1,650.0,0,1
"MN, Norman",2,5.0,4.0,5.0,5.0,,4.5,4.5,32.1,14.3,0.0,2.6,0.77,1.05,4.31,24.0,2,0,0.0,0,0.0,0,0
"MN, Watonwan",2,4.0,3.0,3.5,3.5,4.0,4.0,4.5,62.7,58.35,1.0,2.04,0.86,1.15,3.93,46.6665,9,1,0.0,1,19264.38,0,1
"MN, Rock",3,4.33,3.67,4.0,3.67,5.0,4.33,4.33,40.35,30.9,0.0,2.96,0.54,1.28,4.67,41.0,5,0,3.0,6,186189.5,1,7
"MN, Cottonwood",3,4.0,3.0,3.67,3.67,5.0,4.33,4.67,33.47,28.87,0.0,2.28,0.55,1.1,3.84,51.77766666666667,10,4,3.0,3,25411.75,0,3
"MN, Marshall",1,3.0,2.0,4.0,4.0,,5.0,5.0,48.8,16.7,0.0,2.92,0.97,1.74,5.44,61.0,2,0,0.0,1,650.0,0,1
"MN, Pipestone",2,3.5,3.0,2.5,2.0,3.5,3.5,4.0,53.7,77.8,1.0,2.26,0.68,0.8,3.67,41.3335,13,0,2.0,0,0.0,0,0
"MN, Wadena",2,3.5,3.0,4.5,4.0,4.5,4.5,4.5,57.9,50.0,0.5,2.31,1.11,1.02,4.37,61.0835,7,0,0.0,2,27571.3,0,2
"MN, Traverse",2,3.0,2.5,3.0,3.0,,4.0,4.5,53.4,58.35,0.0,2.0,0.53,0.99,3.42,51.0,2,3,3.0,3,36017.51,0,3
"MN, Murray",1,3.0,2.0,3.0,3.0,,4.0,4.0,46.6,45.5,,2.52,1.05,0.89,4.41,62.0,4,0,1.0,1,650.0,0,1
"MN, Grant",1,3.0,4.0,2.0,2.0,,1.0,1.0,50.8,25.0,0.0,2.82,1.06,1.16,4.92,24.0,0,0,0.0,0,0.0,0,0
"MN, Lake Of  Woods",1,3.0,2.0,2.0,2.0,,5.0,5.0,58.5,,0.0,2.6,2.48,1.3,6.15,57.667,2,1,0.0,2,12987.5,0,2
"MS, Jefferson Davis",1,2.0,2.0,1.0,1.0,,4.0,3.0,42.5,40.0,,2.62,1.46,0.66,4.72,26.667,0,0,0.0,0,0.0,0,0
"MS, Winston",2,1.5,2.5,1.0,1.0,1.0,2.0,1.5,,,2.0,3.58,1.58,0.33,5.52,30.3335,0,4,1.0,7,8160.7,0,7
"MS, Holmes",2,3.5,3.5,2.5,2.5,2.0,2.5,2.5,43.7,32.75,0.0,2.46,1.17,0.5,4.11,16.3335,0,0,0.0,4,3597.67,0,4
"MS, Harrison",8,2.43,2.57,1.43,1.57,1.71,2.43,2.29,71.64,61.05,1.0,2.11,1.11,0.49,3.69,63.04771428571429,8,34,5.0,15,160897.59999999998,3,18
"MS, Jones",4,2.0,1.75,2.75,3.0,1.67,3.0,3.0,53.9,57.22,1.33,2.22,1.17,0.6,3.95,43.33325,3,5,1.0,6,50019.84,1,7
"MS, Monroe",3,2.67,3.0,1.67,2.33,1.33,3.33,3.33,40.53,45.83,0.0,2.17,0.82,0.76,3.69,20.333333333333332,1,0,1.0,1,21190.0,0,1
"MS, Walthall",2,4.0,3.0,4.0,4.5,4.0,3.5,3.5,50.0,41.65,0.0,2.04,1.14,0.73,3.86,17.3335,0,0,0.0,0,0.0,0,0
"MS, Pike",3,2.33,2.33,2.67,2.0,3.0,2.0,1.67,54.07,51.45,0.0,1.99,1.35,0.34,3.71,31.555666666666667,3,8,0.0,2,3900.0,0,2
"MS, Tippah",3,3.33,3.0,2.67,2.33,3.0,3.33,3.67,53.3,54.6,0.33,1.98,1.03,0.82,3.85,19.555333333333333,1,1,3.0,2,16250.0,0,2
"MS, Hinds",12,2.55,2.73,2.27,2.18,2.3,2.45,2.09,60.79,63.18,1.17,2.27,1.22,0.41,3.9,60.34725,5,41,5.0,18,440809.02,0,18
"MS, Grenada",2,1.5,1.5,2.5,3.0,1.5,3.0,3.0,40.1,36.05,1.0,2.19,1.16,0.57,3.9,85.167,0,5,1.0,2,161330.0,0,2
"MS, Lee",4,2.25,1.75,2.75,2.5,3.25,3.0,3.0,49.47,49.15,1.0,2.16,0.98,0.63,3.76,80.70850000000002,10,7,2.0,5,91921.7,0,5
"MS, Rankin",9,2.89,2.67,3.0,3.12,2.0,2.89,2.78,55.12,50.17,1.62,2.2,1.1,0.55,3.86,105.22233333333334,13,8,3.0,13,292164.73,0,13
"MS, Leake",2,4.0,3.0,2.0,2.0,2.0,4.0,3.0,57.0,64.3,1.0,3.23,1.2,0.63,5.05,19.333,0,0,0.0,2,1637.69,0,2
"MS, De Soto",3,2.0,2.0,2.0,2.33,1.67,2.33,2.0,43.8,68.35,1.5,2.11,1.22,0.43,3.74,49.55566666666667,1,8,2.0,3,102972.74,0,3
"MS, Alcorn",3,2.33,3.0,1.0,1.0,1.5,3.67,3.67,55.87,43.67,0.5,2.2,1.34,0.77,4.31,19.333333333333332,5,0,2.0,2,14750.0,0,2
"MS, Clay",2,3.5,4.0,2.0,3.5,1.5,2.0,2.0,58.8,67.1,1.0,2.64,0.89,0.44,3.98,7.667,0,1,0.0,0,0.0,0,0
"MS, Sunflower",3,3.0,3.33,2.33,1.67,3.5,2.67,2.67,53.47,49.2,0.0,2.29,1.02,0.56,3.86,16.444333333333333,2,1,2.0,4,3582.8,0,4
"MS, Bolivar",5,2.8,3.0,2.0,2.2,1.33,2.5,2.5,51.6,57.5,0.25,2.14,0.93,0.75,3.74,34.8666,7,2,0.0,5,172548.25,0,5
"MS, Webster",2,3.5,4.0,2.5,2.5,3.0,3.5,3.0,38.6,23.1,0.5,2.26,1.13,0.63,3.98,11.0,0,0,0.0,1,650.0,0,1
"MS, Lauderdale",9,2.5,2.75,2.12,2.75,2.33,2.5,2.0,64.1,66.57,1.5,3.24,0.95,0.76,4.94,39.27075000000001,4,3,1.0,18,244291.85,0,18
"MS, Wilkinson",1,2.0,2.0,2.0,2.0,,3.0,3.0,67.4,85.7,5.0,2.6,1.01,0.54,4.15,31.333,0,0,0.0,2,1632.61,0,2
"MS, Tishomingo",2,4.0,4.0,2.0,3.0,1.5,3.5,4.0,46.9,41.95,0.0,2.01,0.77,0.86,3.58,10.6665,1,1,0.0,0,0.0,0,0
"MS, Neshoba",3,2.67,2.33,2.0,1.67,2.67,3.67,3.67,58.73,54.07,0.5,2.07,1.05,0.83,3.94,25.333333333333332,2,3,2.0,3,43413.0,0,3
"MS, Benton",1,5.0,5.0,3.0,4.0,2.0,3.0,3.0,50.0,71.4,0.0,1.5,1.31,0.59,3.51,2.667,0,0,0.0,0,0.0,0,0
"MS, Panola",2,3.5,4.0,1.5,1.0,2.0,2.5,2.5,65.75,81.8,3.0,1.83,1.3,0.57,3.67,8.667,0,0,1.0,0,0.0,0,0
"MS, Warren",4,2.5,2.75,2.5,2.75,2.5,2.75,2.75,47.7,46.0,0.33,2.28,0.87,0.56,3.69,67.45824999999999,2,0,1.0,2,10799.06,0,2
"MS, Pearl River",3,3.0,3.5,1.5,1.5,1.5,3.5,3.5,55.5,39.4,0.0,2.34,1.0,0.8,4.12,16.3335,0,2,0.0,1,11283.54,0,1
"MS, Jackson",6,1.83,2.0,1.67,1.6,1.5,3.33,3.5,56.45,55.55,0.6,2.12,1.25,0.74,4.1,62.25,6,8,0.0,6,167569.99,1,7
"MS, Yazoo",2,2.5,2.0,2.0,1.5,3.5,3.5,2.5,50.65,33.35,0.0,2.92,1.15,0.52,4.59,215.0,1,16,0.0,3,383161.25,0,3
"MS, Forrest",8,3.88,3.75,3.0,2.33,3.43,3.88,3.75,60.74,55.04,0.57,2.39,1.3,1.32,5.1,12.4165,1,3,0.0,3,1950.0,0,3
"MS, Simpson",2,2.0,2.0,1.0,1.5,1.5,3.0,3.0,67.65,60.85,0.0,2.09,1.02,0.56,3.63,41.3335,0,0,1.0,1,140361.0,0,1
"MS, Newton",2,2.5,2.0,1.5,2.0,2.0,4.0,3.5,51.95,53.0,0.0,2.57,1.09,0.66,4.31,75.25,0,1,1.0,3,237461.5,0,3
"MS, Leflore",3,2.33,2.33,3.0,2.33,3.0,2.67,2.0,50.4,55.1,0.5,2.32,1.17,0.42,3.89,82.66666666666667,0,5,0.0,1,148715.0,0,1
"MS, Perry",1,1.0,1.0,2.0,4.0,1.0,3.0,4.0,51.2,40.0,,1.36,1.39,0.79,3.47,110.167,2,4,0.0,1,15372.5,0,1
"MS, Itawamba",2,4.5,4.5,3.0,2.5,3.5,3.0,3.5,52.95,57.1,0.5,1.82,1.1,0.73,3.6,4.3335,0,4,2.0,0,0.0,0,0
"MS, Lincoln",4,2.25,2.25,2.0,1.25,2.75,3.25,3.5,77.97,71.67,0.67,2.01,1.03,0.76,3.78,54.62525,0,0,0.0,3,22895.36,0,3
"MS, Hancock",2,3.0,2.5,3.0,2.0,3.5,3.5,3.0,60.25,25.35,0.0,2.73,1.14,0.68,4.54,78.0,0,0,0.0,2,1300.0,0,2
"MS, Jefferson",1,4.0,4.0,2.0,2.0,,4.0,4.0,,,,3.24,1.47,0.8,5.52,9.333,0,0,0.0,0,0.0,0,0
"MS, Adams",3,2.33,2.33,2.67,3.67,1.67,2.67,3.0,46.83,31.0,1.0,1.72,0.88,0.58,3.17,58.44466666666667,0,4,0.0,2,52749.5,1,3
"MS, Montgomery",1,1.0,2.0,1.0,1.0,1.0,3.0,4.0,56.0,57.1,2.0,1.98,0.79,0.75,3.54,27.333,0,6,0.0,0,0.0,0,0
"MS, Oktibbeha",2,2.0,2.0,3.0,4.0,2.5,2.5,2.5,52.9,64.85,0.5,2.0,0.77,0.56,3.31,52.5,1,4,0.0,0,0.0,0,0
"MS, Greene",2,3.5,4.0,2.0,2.0,1.0,4.0,3.0,50.75,47.65,1.0,2.86,1.52,0.61,4.93,13.0,0,0,0.0,3,2937.9,0,3
"MS, George",2,3.0,3.0,2.0,1.5,4.0,4.0,4.0,48.3,52.25,0.0,2.73,1.54,0.81,5.0,80.0835,0,5,0.0,1,56351.75,0,1
"MS, Attala",1,2.0,2.0,4.0,3.0,4.0,2.0,2.0,32.9,57.1,,2.25,1.28,0.34,3.86,26.0,0,0,0.0,0,0.0,0,0
"MS, Claiborne",1,3.0,2.0,2.0,1.0,4.0,4.0,3.0,73.0,69.2,2.0,3.56,0.93,0.52,5.02,39.333,0,1,0.0,0,0.0,0,0
"MS, Lowndes",5,2.4,2.4,1.8,1.75,1.6,3.25,3.0,41.62,35.97,0.75,2.27,0.98,0.68,3.89,56.0998,3,4,2.0,5,194322.58,0,5
"MS, Copiah",2,2.0,2.0,2.5,3.0,2.0,3.0,2.5,55.3,60.0,0.0,2.26,1.43,0.59,4.31,31.0,0,2,2.0,2,35070.5,0,2
"MS, Franklin",1,3.0,3.0,4.0,4.0,,2.0,2.0,62.0,33.3,0.0,1.54,1.57,0.49,3.62,17.333,0,0,0.0,1,650.0,0,1
"MS, Lawrence",1,2.0,3.0,1.0,3.0,1.0,3.0,4.0,41.0,,,1.72,0.67,0.8,3.14,14.667,0,0,0.0,0,0.0,0,0
"MS, Covington",2,2.0,2.0,1.0,1.0,1.0,3.0,3.0,54.4,51.9,1.0,2.17,0.87,0.61,3.66,41.417,2,0,0.0,2,109804.5,0,2
"MS, Washington",5,2.0,2.2,1.6,1.4,1.67,2.4,2.4,56.0,63.9,2.0,2.12,1.03,0.51,3.63,44.4334,3,7,7.0,3,18255.55,1,4
"MS, Sharkey",1,1.0,2.0,1.0,1.0,,3.0,2.0,,,,2.64,1.11,0.42,4.18,25.333,0,1,0.0,4,11024.0,0,4
"MS, Marion",3,1.33,2.0,1.0,1.33,1.0,2.67,2.33,69.6,40.3,0.0,2.16,1.22,0.44,3.81,53.5,2,1,1.0,3,61089.79,0,3
"MS, Marshall",2,3.0,3.5,2.0,1.0,2.5,2.5,2.0,70.05,58.35,0.0,2.54,1.27,0.39,4.22,14.6665,3,0,2.0,3,79840.0,0,3
"MS, Stone",2,2.5,2.0,2.5,2.5,2.5,4.5,4.5,42.55,39.05,1.0,2.49,1.56,0.99,4.98,80.0,0,3,7.0,3,98032.35,0,3
"MS, Scott",1,3.0,4.0,1.0,1.0,2.0,3.0,3.0,57.5,37.5,3.0,2.0,1.0,0.68,3.65,14.667,0,1,0.0,0,0.0,0,0
"MS, Kemper",1,4.0,4.0,4.0,4.0,,4.0,4.0,32.1,18.2,0.0,2.39,0.65,0.79,3.8,10.0,0,0,0.0,1,650.0,0,1
"MS, Humphreys",1,4.0,5.0,3.0,3.0,,1.0,1.0,43.2,57.1,,,,,,6.0,0,0,0.0,1,655.08,0,1
"MS, Prentiss",2,4.0,4.0,2.0,1.5,3.0,3.5,3.5,57.75,53.9,0.0,2.03,1.18,0.78,3.95,11.3335,1,0,0.0,1,650.0,0,1
"MS, Coahoma",2,2.5,2.5,1.5,1.5,2.0,2.5,2.5,48.9,,1.0,1.76,0.94,0.57,3.24,92.5,0,2,0.0,1,164511.75,0,1
"MS, Union",2,3.5,3.0,2.5,3.0,1.5,3.5,3.5,52.15,59.45,1.0,2.24,1.25,0.78,4.19,32.167,0,1,2.0,3,16140.5,0,3
"MS, Lafayette",1,2.0,2.0,2.0,1.0,2.0,3.0,2.0,61.8,77.8,7.0,2.48,1.6,0.42,4.55,28.667,0,4,0.0,1,55680.0,0,1
"MS, Pontotoc",3,4.33,4.33,2.33,2.0,2.0,3.67,4.0,33.1,32.87,0.0,2.89,1.08,0.79,4.75,8.889000000000001,0,2,0.0,1,7345.0,0,1
"MS, Amite",1,1.0,1.0,1.0,1.0,1.0,4.0,4.0,70.3,92.3,2.0,2.1,1.01,0.98,3.92,1075.67,0,26,1.0,3,371423.0,0,3
"MS, Madison",4,3.0,3.0,2.0,2.25,2.0,3.25,3.0,59.88,72.15,0.67,2.27,1.06,0.64,3.94,26.5,1,0,0.0,5,23318.260000000002,0,5
"MS, Carroll",1,3.0,3.0,1.0,1.0,3.0,4.0,4.0,72.5,54.5,2.0,2.47,0.96,0.77,4.16,24.667,1,0,0.0,3,2925.0,0,3
"MS, Wayne",1,5.0,5.0,3.0,4.0,1.0,3.0,3.0,,,1.0,1.81,1.09,0.52,3.39,4.667,0,1,0.0,0,0.0,0,0
"MS, Clarke",1,1.0,2.0,1.0,2.0,1.0,3.0,3.0,,,1.0,2.04,0.87,0.71,3.57,41.333,0,0,1.0,1,3250.0,0,1
"MS, Tate",1,3.0,3.0,4.0,5.0,3.0,3.0,3.0,100.0,100.0,,2.14,1.11,0.6,3.85,22.667,0,2,0.0,2,1630.08,0,2
"MS, Chickasaw",2,2.5,2.5,2.0,2.0,2.0,3.5,4.0,53.1,53.35,1.0,2.07,0.8,0.8,3.62,31.6665,1,18,3.0,6,7170.3,0,6
"MS, Calhoun",2,3.5,4.0,3.0,3.0,4.0,3.0,2.5,25.4,29.8,0.0,2.2,1.24,0.49,3.89,10.3335,0,0,0.0,0,0.0,0,0
"MS, Tunica",1,4.0,4.0,2.0,4.0,1.0,4.0,3.0,66.7,66.7,0.0,2.21,1.98,0.55,4.58,12.667,0,0,0.0,0,0.0,0,0
"MS, Lamar",1,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,,,2.21,0.93,0.49,3.63,83.333,0,0,1.0,2,165176.58,0,2
"MS, Smith",1,4.0,4.0,4.0,4.0,5.0,4.0,3.0,42.2,30.8,4.0,2.52,1.27,0.71,4.47,9.333,0,0,0.0,0,0.0,0,0
"MS, Quitman",1,3.0,4.0,1.0,1.0,,4.0,3.0,64.6,100.0,1.0,2.31,2.19,0.52,4.9,10.667,0,0,0.0,1,655.08,0,1
"MS, Choctaw",1,2.0,3.0,3.0,3.0,,1.0,1.0,40.4,28.6,,1.92,1.49,0.71,4.03,20.8,3,0,0.0,1,655.14,0,1
"MS, Yalobusha",1,3.0,3.0,4.0,4.0,,3.0,2.0,41.5,30.0,0.0,2.77,1.28,0.35,4.41,24.0,0,0,1.0,0,0.0,0,0
"MS, Jasper",1,4.0,4.0,3.0,3.0,,4.0,4.0,,,,2.73,0.96,0.89,4.52,13.333,0,0,0.0,2,1625.0,0,2
"MS, Tallahatchie",1,4.0,4.0,2.0,2.0,,3.0,3.0,40.0,12.5,,2.14,1.38,0.61,4.1,10.667,0,0,0.0,0,0.0,0,0
"MS, Noxubee",1,4.0,3.0,3.0,3.0,,4.0,3.0,,,,3.0,1.28,0.65,4.91,16.667,0,2,0.0,0,0.0,0,0
"MO, St. Louis",70,2.38,2.1,3.58,3.57,3.49,2.34,2.2,63.27,59.98,2.44,2.49,0.91,0.55,3.94,104.47586956521742,100,680,113.0,270,2744744.980000001,23,293
"MO, Texas",3,3.67,3.67,2.67,2.67,2.33,3.0,3.0,53.97,45.85,0.33,2.52,0.81,0.63,3.97,33.333333333333336,0,2,3.0,0,0.0,0,0
"MO, Camden",5,3.75,3.75,3.25,2.33,3.67,2.75,3.0,56.1,53.22,0.8,2.03,0.74,1.42,4.58,36.8335,0,2,2.0,10,26570.449999999997,0,10
"MO, Jackson",40,2.03,1.72,3.49,3.5,3.24,1.97,1.89,67.72,66.04,1.68,2.22,0.83,0.53,3.57,108.17523076923077,67,191,41.0,129,1323484.67,9,138
"MO, Marion",6,2.0,2.0,2.33,2.17,3.2,2.6,2.4,54.62,66.65,0.33,2.39,1.02,0.49,3.87,152.86083333333332,8,56,11.0,39,823087.04,5,44
"MO, Vernon",4,3.75,3.25,3.5,3.0,3.67,3.5,3.75,66.62,33.33,0.33,2.05,0.63,0.87,3.46,40.5,0,1,2.0,6,149277.75,0,6
"MO, St. Charles",15,2.14,1.93,3.5,3.64,3.07,2.77,2.62,61.39,59.11,1.08,2.33,1.0,0.53,3.84,121.59528571428572,12,57,11.0,21,846719.9299999999,4,25
"MO, Laclede",2,2.5,3.0,3.0,2.5,3.5,1.5,1.5,70.2,60.0,0.5,2.33,0.72,0.43,3.47,44.0,0,6,2.0,0,0.0,0,0
"MO, Cape Girardeau",8,4.0,3.88,3.38,3.25,3.14,3.25,3.5,62.46,51.74,1.57,2.28,0.88,0.79,3.89,29.83325,0,13,4.0,25,83044.77,0,25
"MO, Pettis",5,3.0,3.0,4.0,3.2,5.0,2.2,1.8,45.85,60.0,0.0,2.88,0.71,0.33,3.94,51.7334,8,15,5.0,15,45584.19,0,15
"MO, Howell",5,4.0,3.6,2.6,1.8,3.4,3.2,3.2,46.85,25.55,0.0,2.34,0.83,0.69,3.82,31.7334,10,8,2.0,3,28509.0,0,3
"MO, Greene",23,3.61,3.39,3.96,3.9,3.5,2.87,3.09,63.44,56.31,0.91,2.18,0.69,0.85,3.73,48.79713043478261,23,97,24.0,23,198175.65,4,27
"MO, St. Francois",8,3.12,3.38,2.62,2.88,2.71,2.75,2.75,59.75,59.44,1.12,2.6,0.68,0.56,3.79,42.52074999999999,4,11,7.0,16,108114.86,1,17
"MO, Macon",3,3.33,2.67,3.33,2.67,3.67,3.33,3.67,42.07,28.67,0.33,2.78,0.91,0.93,4.56,50.111333333333334,3,5,1.0,4,18947.5,1,5
"MO, Mississippi",3,4.0,4.0,4.33,4.0,3.0,2.0,2.0,70.5,80.0,0.0,2.9,0.52,0.94,4.29,23.555666666666667,0,3,0.0,0,0.0,0,0
"MO, Dunklin",6,3.5,3.83,2.67,2.83,2.67,2.33,2.5,57.1,40.2,0.5,2.08,0.94,0.57,3.53,33.111,3,18,2.0,24,46358.340000000004,1,25
"MO, Chariton",3,3.33,3.33,3.67,3.67,2.5,2.0,2.0,62.67,50.0,0.0,1.69,0.55,0.42,2.64,38.111,1,0,2.0,3,107669.25,0,3
"MO, Newton",4,4.25,3.75,4.0,3.5,3.75,2.0,2.67,69.77,54.57,0.67,1.8,0.71,0.56,3.05,31.33325,0,25,2.0,6,50462.95,0,6
"MO, Warren",1,3.0,2.0,3.0,4.0,2.0,4.0,4.0,65.2,40.0,3.0,3.54,1.0,0.84,5.35,64.0,0,1,0.0,0,0.0,0,0
