state_county,nursing_home_count,overall_rating,health_insp_rating,qm_rating,longstay_qm_rating,shortstay_qm_rating,staffing_rating,rn_staffing_rating,nursing_turnover,rn_turnover,admin_turnover,nurse_aide_hrspres,lpn_hrspres,rn_hrspres,total_nurse_hrspres,total_weighted_health_survey_score,reported_incidents,substantiated_complaints,infection_control_citations,num_fines,fines_dollar_total,num_payment_denials,total_penalties
"KY, Mc Creary",1,1.0,1.0,4.0,5.0,4.0,2.0,2.0,53.8,66.7,0.0,2.38,0.72,0.51,3.59,137.833,0,1,1.0,1,65981.5,0,1
"KY, Wolfe",1,5.0,5.0,2.0,2.0,2.0,3.0,3.0,48.9,43.8,0.0,2.5,0.36,0.57,3.39,6.667,1,0,2.0,0,0.0,0,0
"KY, Metcalfe",1,1.0,1.0,1.0,2.0,1.0,3.0,3.0,57.3,44.4,0.0,2.32,0.97,0.58,3.85,145.167,1,1,4.0,3,84262.75,0,3
"KY, Jessamine",2,3.0,3.0,3.5,3.5,2.0,3.0,3.0,51.6,27.6,4.5,2.3,0.94,0.76,3.9,36.0835,2,2,0.0,2,24862.5,0,2
"KY, Magoffin",1,1.0,1.0,3.0,2.0,4.0,2.0,2.0,48.4,23.1,0.0,2.0,0.69,0.5,3.19,200.0,0,2,1.0,2,238673.5,0,2
"KY, Lewis",1,1.0,1.0,1.0,3.0,1.0,2.0,2.0,53.1,25.0,1.0,1.49,0.73,0.39,2.64,109.333,1,4,7.0,5,216447.8,1,6
"KY, Bell",2,2.5,2.5,3.0,4.5,1.5,2.0,2.0,59.8,51.25,0.0,2.22,0.71,0.42,3.34,147.9165,4,5,0.0,1,173803.5,1,2
"KY, Montgomery",1,1.0,2.0,2.0,1.0,2.0,1.0,1.0,55.2,40.0,0.0,2.07,0.8,0.3,3.17,32.0,2,0,0.0,1,7962.5,0,1
"KY, Lincoln",1,1.0,1.0,2.0,1.0,3.0,1.0,1.0,54.0,55.6,1.0,2.0,0.9,0.27,3.17,130.333,1,4,2.0,6,168832.79,1,7
"KY, Jackson",1,2.0,2.0,3.0,4.0,2.0,3.0,4.0,54.0,41.7,1.0,2.05,0.57,0.85,3.47,50.667,0,5,1.0,4,13900.0,0,4
