state_county,Population,Race_White,Race_Black,Race_Asian,Race_Native,Race_Hispanic,Race_Multi,Alone_65,Under18,Over65,UnderHS,Ed_HSDiploma,Ed_SomeCollege,Ed_Assoc,Ed_Degree
"KS, Ellis",28553,91.42,0.81,1.37,0.22,4.55,1.59,5.41,489327323.0,313309785.0,155798873.0,626293209.0,487370586.0,213520191.0,844868137.0
"KS, Ellsworth",6102,93.95,4.9,0.39,0.52,5.28,1.8,6.65,4255901.0,4293122.99,1906387.0,7800614.0,6426687.0,2155898.0,4430906.0
"KS, Finney",36467,46.75,1.94,3.31,0.41,47.12,2.88,3.23,1552856757.0,407330555.0,1405643125.0,1075310452.0,1133424263.0,407463660.0,827693687.0
"KS, Ford",33619,44.31,1.8,1.4,0.38,51.52,2.71,3.1,1175220728.0,379194416.0,1004780803.0,960701587.0,766187768.0,394791951.0,673282334.0
"KS, Franklin",25544,93.49,1.25,0.39,0.7,3.67,2.8,4.08,432865814.0,235485794.0,130629717.0,626461236.0,409441200.0,160122564.0,340080810.0
"KS, Geary",31670,65.0,18.99,3.38,0.87,13.43,7.51,2.59,981524874.0,243024179.0,197789284.0,792561702.0,981825739.0,466189367.0,738199830.0
"KS, Gove",2636,99.32,0.27,0.42,0.08,1.59,0.61,6.41,409264.98,439842.98,145928.98,664272.0,433596.02,227222.99,360630.99
"KS, Graham",2482,94.96,3.87,0.24,0.52,2.38,3.02,9.43,292628.0,391808.98,113352.98,487291.02,382551.01,167559.99,378231.99
"KS, Grant",7150,59.3,0.43,0.36,0.43,48.1,2.55,3.12,11461664.0,3829110.99,8399390.99,9478112.0,9064054.99,4181820.0,5429210.0
"KS, Gray",5988,84.34,0.37,0.22,0.33,14.28,1.25,4.34,6515063.99,2721486.01,4858484.0,4829801.0,4750938.99,2689211.01,4342198.0
"KS, Greeley",1232,85.71,0.24,0.32,0.32,13.88,1.46,5.28,39916.96,39165.02,24283.04,50388.96,38549.03,23075.0,50844.97
"KS, Greenwood",5982,104.6,0.38,0.3,1.02,3.68,2.46,6.9,4727096.0,4752161.0,1624591.99,7768763.99,6219306.0,1527982.0,4265464.99
"KS, Hamilton",2539,70.93,0.32,0.28,0.71,32.57,1.5,2.99,464154.98,223051.0,313313.0,653031.0,247551.99,116031.98,306864.0
"KS, Harper",5436,102.69,0.39,0.09,1.09,5.48,1.58,6.25,3803080.0,3478061.99,1666622.99,6279395.0,4426589.0,1084482.01,2609280.0
"KS, Harvey",34429,85.2,1.54,0.73,0.53,10.88,2.35,4.93,1041453838.0,699122848.0,389508016.0,969147085.0,1033037669.0,334862996.0,1354506407.0
"KS, Haskell",3968,76.51,0.1,0.25,0.4,28.96,2.17,3.68,1946066.0,669164.01,1724095.99,1202939.01,1626444.0,623492.01,1069098.01
"KS, Hodgeman",1794,97.44,1.11,0.45,0.17,6.58,1.73,6.97,138711.98,119408.97,51488.02,120376.98,167039.02,60835.01,177659.98
"KS, Jackson",13171,87.76,0.52,0.36,7.4,3.33,3.22,4.27,60664309.0,35180795.0,12282089.0,89218378.0,62659320.0,18093530.0,46231132.0
"KS, Jefferson",19043,95.42,0.53,0.2,0.87,1.78,1.72,4.36,170583957.0,106542348.0,44785518.0,274261475.0,168045525.0,43443748.0,160067460.0
"KS, Jewell",2879,102.78,0.14,0.21,0.59,2.19,1.35,8.82,447597.99,669712.99,164102.99,942411.98,600098.99,218833.0,460841.99
"KS, Johnson",602401,74.04,3.82,3.75,0.27,6.47,2.26,3.56,5758000049577.0,2382788390565.0,883339447189.0,3160201133873.0,3953145437588.0,1626096488671.0,12237564534904.0
"KS, Kansas",2913314,76.56,5.58,2.3,0.79,10.3,2.95,4.39,630029772765979.0,325894882482096.0,223735462125072.03,640566877954378.0,568231327070802.0,214626786108998.0,825485223207855.0
"KS, Kearny",3838,71.03,0.42,0.26,0.96,29.57,2.21,3.34,1688068.0,760078.01,1361070.01,1830955.99,1169592.0,458104.01,833729.0
"KS, Kingman",7152,104.67,0.18,0.5,0.53,2.78,1.38,7.89,8844019.99,7309487.0,2347859.0,12071646.0,10383703.01,2843992.99,8936066.0
"KS, Kiowa",2475,96.08,0.48,0.65,0.89,4.0,1.05,5.78,326501.98,286060.0,178868.0,410404.0,363874.02,136594.99,425725.01
"KS, Labette",19618,94.13,5.03,0.39,2.04,4.46,4.45,5.6,183850479.0,125350780.0,76973185.0,240040944.0,211368452.0,85170762.0,141438325.0
"KS, Lane",1535,106.06,0.52,0.26,0.59,4.82,1.89,5.47,81523.97,76336.03,20737.98,115217.0,101309.97,41000.0,83411.99
"KS, Leavenworth",81758,74.89,8.57,1.16,0.64,5.27,3.07,3.25,13728360232.0,6038660596.0,4273986931.0,15439559260.0,13009790805.0,4713817991.0,17212254202.0
"KS, Lincoln",2962,105.2,0.27,0.2,0.51,2.43,0.91,6.55,625545.0,528153.98,174580.01,807145.0,720298.99,304434.0,592222.01
"KS, Linn",9703,94.65,0.42,0.31,0.62,1.92,1.53,6.42,21192807.0,17671589.0,9377173.0,35503277.0,24478534.0,7239990.0,14762435.0
"KS, Logan",2794,93.38,0.57,0.36,0.43,2.86,1.25,5.3,498058.02,452768.0,195942.98,613590.01,660418.0,348159.99,362213.99
"KS, Lyon",33195,74.42,2.2,2.29,0.43,20.35,2.74,3.68,862132905.0,457622287.0,429303300.0,1072927794.0,867091574.0,283410611.0,1005050326.0
"KS, Marion",11884,100.91,0.8,0.21,0.53,2.49,1.74,6.41,38004794.0,35010739.0,14151230.0,50913195.0,45701823.0,15040985.0,42015763.0
